key,name,category,cwe,owasp_llm_top10,difficulty,relevance,available_in_docker,graded,detected,exploited,finding_ref,mitigation_correct,fix_verified,notes
web3SandboxChallenge,Web3 Sandbox,Broken Access Control,CWE-284,,1,core,yes,yes,,,,,,
aiDebuggingChallenge,AI Debugging,Broken Access Control,CWE-602,LLM02,2,core,yes,yes,,,,,,
adminSectionChallenge,Admin Section,Broken Access Control,CWE-425,,2,core,yes,yes,,,,,,
feedbackChallenge,Five-Star Feedback,Broken Access Control,CWE-284,,2,core,yes,yes,,,,,,
basketAccessChallenge,View Basket,Broken Access Control,CWE-639,,2,core,yes,yes,,,,,,
csrfChallenge,CSRF,Broken Access Control,CWE-352,,3,core,yes,yes,,,,,,
forgedFeedbackChallenge,Forged Feedback,Broken Access Control,CWE-639,,3,core,yes,yes,,,,,,
forgedReviewChallenge,Forged Review,Broken Access Control,CWE-639,,3,core,yes,yes,,,,,,
basketManipulateChallenge,Manipulate Basket,Broken Access Control,CWE-639,,3,core,yes,yes,,,,,,
changeProductChallenge,Product Tampering,Broken Access Control,CWE-284,,3,core,yes,yes,,,,,,
easterEggLevelOneChallenge,Easter Egg,Broken Access Control,CWE-158,,4,core,yes,yes,,,,,,
ssrfChallenge,SSRF,Broken Access Control,CWE-918,,6,core,yes,yes,,,,,,
captchaBypassChallenge,CAPTCHA Bypass,Broken Anti Automation,CWE-804,,3,core,yes,yes,,,,,,
extraLanguageChallenge,Extra Language,Broken Anti Automation,CWE-799,,5,meta,yes,no,,,,,,
resetPasswordMortyChallenge,Reset Morty's Password,Broken Anti Automation,CWE-640,,5,osint,yes,no,,,,,,
timingAttackChallenge,Multiple Likes,Broken Anti Automation,CWE-362,,6,core,yes,yes,,,,,,
weakPasswordChallenge,Password Strength,Broken Authentication,CWE-521,,2,core,yes,yes,,,,,,
resetPasswordBjoernOwaspChallenge,Bjoern's Favorite Pet,Broken Authentication,CWE-640,,3,osint,yes,no,,,,,,
ghostLoginChallenge,GDPR Data Erasure,Broken Authentication,CWE-287,,3,core,yes,yes,,,,,,
resetPasswordJimChallenge,Reset Jim's Password,Broken Authentication,CWE-640,,3,osint,yes,no,,,,,,
oauthUserPasswordChallenge,Login Bjoern,Broken Authentication,CWE-287,,4,core,yes,yes,,,,,,
resetPasswordBenderChallenge,Reset Bender's Password,Broken Authentication,CWE-640,,4,osint,yes,no,,,,,,
changePasswordBenderChallenge,Change Bender's Password,Broken Authentication,CWE-620,,5,core,yes,yes,,,,,,
resetPasswordBjoernChallenge,Reset Bjoern's Password,Broken Authentication,CWE-640,,5,osint,yes,no,,,,,,
twoFactorAuthUnsafeSecretStorageChallenge,Two Factor Authentication,Broken Authentication,CWE-287,,5,core,yes,yes,,,,,,
weirdCryptoChallenge,Weird Crypto,Cryptographic Issues,CWE-327,,2,core,yes,yes,,,,,,
easterEggLevelTwoChallenge,Nested Easter Egg,Cryptographic Issues,CWE-327,,4,meta,yes,no,,,,,,
forgedCouponChallenge,Forged Coupon,Cryptographic Issues,CWE-327,,6,core,yes,yes,,,,,,
continueCodeChallenge,Imaginary Challenge,Cryptographic Issues,CWE-327,,6,meta,yes,no,,,,,,
premiumPaywallChallenge,Premium Paywall,Cryptographic Issues,CWE-327,,6,core,yes,yes,,,,,,
missingEncodingChallenge,Missing Encoding,Improper Input Validation,CWE-20,,1,core,yes,yes,,,,,,
passwordRepeatChallenge,Repetitive Registration,Improper Input Validation,CWE-20,,1,core,yes,yes,,,,,,
zeroStarsChallenge,Zero Stars,Improper Input Validation,CWE-20,,1,core,yes,yes,,,,,,
emptyUserRegistration,Empty User Registration,Improper Input Validation,CWE-20,,2,core,yes,yes,,,,,,
registerAdminChallenge,Admin Registration,Improper Input Validation,CWE-915,,3,core,yes,yes,,,,,,
freeDeluxeChallenge,Deluxe Fraud,Improper Input Validation,CWE-20,,3,core,yes,yes,,,,,,
nftMintChallenge,Mint the Honey Pot,Improper Input Validation,CWE-20,,3,core,yes,yes,,,,,,
negativeOrderChallenge,Payback Time,Improper Input Validation,CWE-20,,3,core,yes,yes,,,,,,
uploadSizeChallenge,Upload Size,Improper Input Validation,CWE-434,,3,core,yes,yes,,,,,,
uploadTypeChallenge,Upload Type,Improper Input Validation,CWE-434,,3,core,yes,yes,,,,,,
manipulateClockChallenge,Expired Coupon,Improper Input Validation,CWE-20,,4,core,yes,yes,,,,,,
nullByteChallenge,Poison Null Byte,Improper Input Validation,CWE-158,,4,core,yes,yes,,,,,,
chatbotPromptInjectionChallenge,Chatbot Prompt Injection,Injection,CWE-1427,LLM01 LLM06,2,core,yes,yes,,,,,,
loginAdminChallenge,Login Admin,Injection,CWE-89,,2,core,yes,yes,,,,,,
dbSchemaChallenge,Database Schema,Injection,CWE-89,,3,core,yes,yes,,,,,,
chatbotGreedyInjectionChallenge,Greedy Chatbot Manipulation,Injection,CWE-1427,LLM01 LLM06,3,core,yes,yes,,,,,,
loginBenderChallenge,Login Bender,Injection,CWE-89,,3,core,yes,yes,,,,,,
loginJimChallenge,Login Jim,Injection,CWE-89,,3,core,yes,yes,,,,,,
systemPromptExtractionChallenge,System Prompt Extraction,Injection,CWE-1427,LLM07 LLM01,3,core,yes,yes,,,,,,
christmasSpecialChallenge,Christmas Special,Injection,CWE-89,,4,core,yes,yes,,,,,,
ephemeralAccountantChallenge,Ephemeral Accountant,Injection,CWE-89,,4,core,yes,yes,,,,,,
noSqlCommandChallenge,NoSQL DoS,Injection,CWE-943,,4,core,no,no,,,,,,
noSqlReviewsChallenge,NoSQL Manipulation,Injection,CWE-943,,4,core,yes,yes,,,,,,
unionSqlInjectionChallenge,User Credentials,Injection,CWE-89,,4,core,yes,yes,,,,,,
noSqlOrdersChallenge,NoSQL Exfiltration,Injection,CWE-943,,5,core,no,no,,,,,,
sstiChallenge,SSTi,Injection,CWE-1336,,6,core,no,no,,,,,,
rceChallenge,Blocked RCE DoS,Insecure Deserialization,CWE-502,,5,core,no,no,,,,,,
yamlBombChallenge,Memory Bomb,Insecure Deserialization,CWE-776,,5,core,no,no,,,,,,
rceOccupyChallenge,Successful RCE DoS,Insecure Deserialization,CWE-502,,6,core,no,no,,,,,,
closeNotificationsChallenge,Mass Dispel,Miscellaneous,,,1,meta,yes,no,,,,,,
privacyPolicyChallenge,Privacy Policy,Miscellaneous,,,1,meta,yes,no,,,,,,
scoreBoardChallenge,Score Board,Miscellaneous,,,1,meta,yes,no,,,,,,
securityPolicyChallenge,Security Policy,Miscellaneous,,,2,meta,yes,no,,,,,,
csafChallenge,Security Advisory,Miscellaneous,,,3,meta,yes,no,,,,,,
web3WalletChallenge,Wallet Depletion,Miscellaneous,,,6,core,yes,yes,,,,,,
exposedMetricsChallenge,Exposed Metrics,Observability Failures,CWE-200,,1,core,yes,yes,,,,,,
accessLogDisclosureChallenge,Access Log,Observability Failures,CWE-532,,4,core,yes,yes,,,,,,
misplacedSignatureFileChallenge,Misplaced Signature File,Observability Failures,CWE-538,,4,core,yes,yes,,,,,,
dlpPasswordSprayingChallenge,Leaked Access Logs,Observability Failures,CWE-532,,5,osint,yes,no,,,,,,
errorHandlingChallenge,Error Handling,Security Misconfiguration,CWE-209,,1,core,yes,yes,,,,,,
deprecatedInterfaceChallenge,Deprecated Interface,Security Misconfiguration,,,2,core,no,no,,,,,,
misplacedIacFiles,Misplaced IaC Files,Security Misconfiguration,CWE-538,,2,core,yes,yes,,,,,,
svgInjectionChallenge,Cross-Site Imaging,Security Misconfiguration,,,5,core,yes,yes,,,,,,
loginSupportChallenge,Login Support Team,Security Misconfiguration,,,6,core,yes,yes,,,,,,
privacyPolicyProofChallenge,Privacy Policy Inspection,Security through Obscurity,CWE-656,,3,meta,yes,no,,,,,,
hiddenImageChallenge,Steganography,Security through Obscurity,CWE-656,,4,meta,yes,no,,,,,,
tokenSaleChallenge,Blockchain Hype,Security through Obscurity,CWE-656,,5,core,yes,yes,,,,,,
directoryListingChallenge,Confidential Document,Sensitive Data Exposure,CWE-548,,1,core,yes,yes,,,,,,
exposedCredentialsChallenge,Exposed Credentials,Sensitive Data Exposure,CWE-798,,2,core,yes,yes,,,,,,
loginRapperChallenge,Login MC SafeSearch,Sensitive Data Exposure,CWE-200,,2,osint,yes,no,,,,,,
geoStalkingMetaChallenge,Meta Geo Stalking,Sensitive Data Exposure,CWE-200,,2,osint,yes,no,,,,,,
nftUnlockChallenge,NFT Takeover,Sensitive Data Exposure,CWE-200,,2,core,yes,yes,,,,,,
passwordHashLeakChallenge,Password Hash Leak,Sensitive Data Exposure,CWE-200,,2,core,yes,yes,,,,,,
geoStalkingVisualChallenge,Visual Geo Stalking,Sensitive Data Exposure,CWE-200,,2,osint,yes,no,,,,,,
loginAmyChallenge,Login Amy,Sensitive Data Exposure,CWE-200,,3,osint,yes,no,,,,,,
forgottenDevBackupChallenge,Forgotten Developer Backup,Sensitive Data Exposure,CWE-530,,4,core,yes,yes,,,,,,
forgottenBackupChallenge,Forgotten Sales Backup,Sensitive Data Exposure,CWE-530,,4,core,yes,yes,,,,,,
dataExportChallenge,GDPR Data Theft,Sensitive Data Exposure,CWE-200,,4,core,yes,yes,,,,,,
dlpPastebinDataLeakChallenge,Leaked Unsafe Product,Sensitive Data Exposure,CWE-200,,4,osint,yes,no,,,,,,
iacLeakedKeyChallenge,Login Cloud Admin,Sensitive Data Exposure,CWE-798,,4,core,yes,yes,,,,,,
resetPasswordUvoginChallenge,Reset Uvogin's Password,Sensitive Data Exposure,CWE-640,,4,osint,yes,no,,,,,,
emailLeakChallenge,Email Leak,Sensitive Data Exposure,CWE-200,,5,core,yes,yes,,,,,,
leakedApiKeyChallenge,Leaked API Key,Sensitive Data Exposure,CWE-798,,5,core,yes,yes,,,,,,
retrieveBlueprintChallenge,Retrieve Blueprint,Sensitive Data Exposure,CWE-200,,5,core,yes,yes,,,,,,
redirectCryptoCurrencyChallenge,Outdated Allowlist,Unvalidated Redirects,CWE-601,,1,core,yes,yes,,,,,,
redirectChallenge,Allowlist Bypass,Unvalidated Redirects,CWE-601,,4,core,yes,yes,,,,,,
vulnerableDockerImageChallenge,Vulnerable Infrastructure,Vulnerable Components,CWE-1395,,3,core,yes,yes,,,,,,
typosquattingNpmChallenge,Legacy Typosquatting,Vulnerable Components,CWE-1395,,4,core,yes,yes,,,,,,
knownVulnerableComponentChallenge,Vulnerable Library,Vulnerable Components,CWE-1395,,4,core,yes,yes,,,,,,
typosquattingAngularChallenge,Frontend Typosquatting,Vulnerable Components,CWE-1395,,5,core,yes,yes,,,,,,
lfrChallenge,Local File Read,Vulnerable Components,CWE-22,,5,core,no,no,,,,,,
supplyChainAttackChallenge,Supply Chain Attack,Vulnerable Components,CWE-1395,,5,core,yes,yes,,,,,,
jwtUnsignedChallenge,Unsigned JWT,Vulnerable Components,CWE-347,,5,core,yes,yes,,,,,,
fileWriteChallenge,Arbitrary File Write,Vulnerable Components,CWE-22,,6,core,no,no,,,,,,
jwtForgedChallenge,Forged Signed JWT,Vulnerable Components,CWE-347,,6,core,yes,yes,,,,,,
xssBonusChallenge,Bonus Payload,XSS,CWE-79,,1,meta,yes,no,,,,,,
localXssChallenge,DOM XSS,XSS,CWE-79,,1,core,yes,yes,,,,,,
reflectedXssChallenge,Reflected XSS,XSS,CWE-79,,2,core,no,no,,,,,,
restfulXssChallenge,API-only XSS,XSS,CWE-79,,3,core,no,no,,,,,,
persistedXssUserChallenge,Client-side XSS Protection,XSS,CWE-79,,3,core,no,no,,,,,,
usernameXssChallenge,CSP Bypass,XSS,CWE-79,,4,core,no,no,,,,,,
httpHeaderXssChallenge,HTTP-Header XSS,XSS,CWE-79,,4,core,no,no,,,,,,
persistedXssFeedbackChallenge,Server-side XSS Protection,XSS,CWE-79,,4,core,no,no,,,,,,
videoXssChallenge,Video XSS,XSS,CWE-79,,6,core,no,no,,,,,,
xxeFileDisclosureChallenge,XXE Data Access,XXE,CWE-611,,3,core,no,no,,,,,,
xxeDosChallenge,XXE DoS,XXE,CWE-776,,5,core,no,no,,,,,,
